variable,type,num_values,num_unique_values,num_nulls,proportion_nulls,min_length,max_length,min,max,mean,median,stddev
ls11cd,String,4835,4835,0,0.0,9,9,,,,,
la19nm,String,4835,33,0,0.0,5,22,,,,,
england_imd_rank,Numeric,4835,4834,0,0.0,,,546.0,32563.0,15197.528024819028,14033.0,8093.22120242058
england_imd_decile,Numeric,4835,10,0,0.0,,,1.0,10.0,5.12306101344364,5.0,2.4796973994006484
london_imd_rank,Numeric,4835,4835,0,0.0,,,1.0,4835.0,2418.0,2418.0,1395.8886058708267
london_imd_decile,Numeric,4835,10,0,0.0,,,1.0,10.0,5.500517063081696,6.0,2.8725783529332403
IDAOP_london_rank,String,4835,4819,0,0.0,2,6,,,,,
IDAOP_london_decile,Numeric,4835,10,0,0.0,,,1.0,10.0,5.500517063081696,6.0,2.8725783529332403
IDACI_london_rank,Numeric,4835,4820,0,0.0,,,75.0,32843.0,14410.387383660807,12938.0,8658.224178060344
IDACI_london_decile,Numeric,4835,10,0,0.0,,,1.0,10.0,5.500517063081696,6.0,2.8725783529332403
Income_london_rank,Numeric,4835,4830,0,0.0,,,179.0,32838.0,14462.353257497414,13067.0,8490.329081441918
Income_london_decile,Numeric,4835,10,0,0.0,,,1.0,10.0,5.500517063081696,6.0,2.8725783529332403
employment_london_rank,Numeric,4835,4829,0,0.0,,,312.0,32840.0,17246.054601861426,16630.0,8514.555228772173
employment_london_decile,Numeric,4835,10,0,0.0,,,1.0,10.0,5.500517063081696,6.0,2.8725783529332403
crime_london_rank,Numeric,4835,4832,0,0.0,,,44.0,32792.0,13094.90651499483,12317.0,7327.387933299354
crime_london_decile,Numeric,4835,10,0,0.0,,,1.0,10.0,5.500517063081696,6.0,2.8725783529332403
barriers_london_rank,Numeric,4835,4835,0,0.0,,,1.0,4835.0,2418.0,2418.0,1395.8886058708267
barriers_london_decile,Numeric,4835,10,0,0.0,,,1.0,10.0,5.500517063081696,6.0,2.8725783529332403
livingEnv_london_rank,Numeric,4835,4832,0,0.0,,,1.0,28865.0,10399.344984488107,9654.0,5726.427264433389
livingEnv_london_decile,Numeric,4835,10,0,0.0,,,1.0,10.0,5.500517063081696,6.0,2.8725783529332403
health_london_rank,Numeric,4835,4831,0,0.0,,,1230.0,32844.0,20483.431023784902,20849.0,7873.490254788663
health_london_decile,Numeric,4835,10,0,0.0,,,1.0,10.0,5.500517063081696,6.0,2.8725783529332403
edu_london_rank,Numeric,4835,4832,0,0.0,,,1848.0,32844.0,20590.641365046537,20764.0,7759.78391404437
edu_london_decile,Numeric,4835,10,0,0.0,,,1.0,10.0,5.500517063081696,6.0,2.8725783529332403
