variable,type,num_values,num_unique_values,num_nulls,proportion_nulls,min_length,max_length,min,max,mean,median,stddev
Ward Code,Numeric,566,566,0,0.0,,,101.0,2615.0,1348.1925795053003,1318.5,737.2332083916583
Ward Name,String,566,552,0,0.0,3,24,,,,,
LGD Name,String,566,26,0,0.0,4,16,,,,,
Multiple Deprivation Measure Score,Numeric,566,529,0,0.0,,,1.01,78.07,21.778498233215547,18.42,15.04610632156439
Rank of Multiple Deprivation Measure Domain,Numeric,566,566,0,0.0,,,1.0,566.0,283.5,283.5,163.53440005087614
Income Domain Score,Numeric,566,537,0,0.0,,,3.03,69.15,27.735088339222614,26.405,13.661246794289431
Rank of Income Domain,Numeric,566,566,0,0.0,,,1.0,566.0,283.5,283.5,163.53440005087614
Employment Domain Score,Numeric,566,472,0,0.0,,,2.66,29.91,12.464010600706715,12.114999999999998,4.337453638208049
Rank of Employment Domain,Numeric,566,566,0,0.0,,,1.0,566.0,283.5,283.5,163.53440005087614
Health Domain Score,Numeric,566,244,0,0.0,,,-2.2,2.42,-8.833922261484212e-05,-0.02,0.7440217139078943
Rank of Health Domain,Numeric,566,566,0,0.0,,,1.0,566.0,283.5,283.5,163.53440005087614
Education Domain Score,Numeric,566,283,0,0.0,,,-2.63,2.57,-0.00010600706713780808,-0.015,0.9180113112068251
Rank of Education Domain,Numeric,566,566,0,0.0,,,1.0,566.0,283.5,283.5,163.53440005087614
Access Domain Score,Numeric,566,265,0,0.0,,,-2.03,2.48,-0.0003003533568904582,-0.11499999999999999,0.8313278097882378
Rank of Access Domain,Numeric,566,566,0,0.0,,,1.0,566.0,283.5,283.5,163.53440005087614
Social Environment Domain Score,Numeric,566,251,0,0.0,,,-2.39,1.96,-0.00012367491166077467,-0.035,0.7768902057286413
Rank of Social Environment Domain,Numeric,566,566,0,0.0,,,1.0,566.0,283.5,283.5,163.53440005087614
Housing Domain Score,Numeric,566,28,0,0.0,,,0.12,0.47,0.262791519434629,0.26,0.05022408897922815
Rank of Housing Domain,Numeric,566,566,0,0.0,,,1.0,566.0,283.5,283.5,163.53440005087614
Child Poverty Measure Score,Numeric,566,546,0,0.0,,,2.38,92.39,39.38086572438163,38.035,19.85089782752733
Rank of Child Poverty Measure,Numeric,566,566,0,0.0,,,1.0,566.0,283.5,283.5,163.53440005087614
