variable,type,num_values,num_unique_values,num_nulls,proportion_nulls,min_length,max_length,min,max,mean,median,stddev
Data_Zone,String,6976,6976,0,0.0,9,9,,,,,,6976,6505,0,0.0,,,1.0,6969.0,3488.4974197247707,3488.5,2013.9375910485664
Intermediate_Zone,String,6976,1250,0,0.0,3,52,,,,,556,0,0.0,,,1.0,6974.0,3488.5,3488.5,2013.9420494024287
Council_area,String,6976,32,0,0.0,4,21,,,,,6,6976,0,0.0,,,1.0,6976.0,3488.5,3488.5,2013.9420713284348
2016Total_population,Numeric,6976,866,0,0.0,,,0.0,3302.0,766.5711009174312,753.0,188.26739191350492
2016Working_age_population_Revised,Numeric,6976,714,0,0.0,,,0.0,2917.0,493.0983371559633,474.0,151.22543571526055
2016Overal_SIMD16_Rank,Numeric,6976,6976,0,0.0,,,1.0,6976.0,3488.5,3488.5,2013.9420713284348
2016SIMD_2016_Percentile,Numeric,6976,100,0,0.0,,,1.0,100.0,50.5,50.5,28.868457070305503
2016SIMD_2016_Vigintile,Numeric,6976,20,0,0.0,,,1.0,20.0,10.5,10.5,5.7667940815061725
2016SIMD_2016_Decile,Numeric,6976,10,0,0.0,,,1.0,10.0,5.5,5.5,2.8725870347826596
2016SIMD_2016_Quintile,Numeric,6976,5,0,0.0,,,1.0,5.0,3.0,3.0,1.4142135623730951
2016Income_Domain_2016_Rank,Numeric,6976,6975,0,0.0,,,1.0,6975.5,3488.5,3488.5,2013.9420713106379
2016Employment_Domain_2016_Rank,Numeric,6976,6974,0,0.0,,,1.0,6975.0,3488.5,3488.5,2013.9420712572467
2016Health_Domain_2016_Rank,Numeric,6976,6976,0,0.0,,,1.0,6976.0,3488.5,3488.5,2013.9420713284348
2016Education_Domain_2016_Rank,Numeric,6976,6976,0,0.0,,,1.0,6976.0,3488.5,3488.5,2013.9420713284348
2016Geographic_Access_Domain_2016_Rank,Numeric,6976,6976,0,0.0,,,1.0,6976.0,3488.5,3488.5,2013.9420713284348
2016Crime_Domain_2016_Rank,Numeric,6976,6818,0,0.0,,,1.0,6934.5,3488.5,3488.5,2013.9403121394178
2016Housing_Domain_2016_Rank,Numeric,6976,6572,0,0.0,,,1.0,6974.0,3488.5,3488.5,2013.9420591018388
2016Income_rate,String,6976,56,0,0.0,2,7,,,,,
2016Income_count,Numeric,6976,89,0,0.0,,,0.0,555.0,94.59862385321101,75.0,76.07718787960471
2016Employment_rate,String,6976,54,0,0.0,2,7,,,,,
2016Employment_count,Numeric,6976,57,0,0.0,,,0.0,325.0,52.99025229357798,40.0,42.07583755179976
2016CIF,String,6976,77,0,0.0,1,3,,,,,
2016ALCOHOL,String,6976,482,0,0.0,1,5,,,,,
2016DRUG,Numeric,6976,618,0,0.0,,,0.0,1864.0,96.5487385321101,42.0,151.61045510561993
2016SMR,Numeric,6976,266,0,0.0,,,0.0,950.0,99.77866972477064,93.0,44.98151634102213
2016DEPRESS,String,6976,37,0,0.0,1,3,,,,,
2016LBWT,String,6976,34,0,0.0,1,3,,,,,
2016EMERG,Numeric,6976,199,0,0.0,,,20.0,324.0,100.7521502293578,95.0,34.36139883856412
2016Attendance,String,6976,53,0,0.0,3,7,,,,,
2016Attainment,String,6976,46,0,0.0,1,3,,,,,
2016Noquals,Numeric,6976,284,0,0.0,,,3.0,353.0,102.00616399082568,93.0,55.67676649726677
2016NEET,String,6976,47,0,0.0,2,7,,,,,
2016HESA,String,6976,46,0,0.0,1,3,,,,,
2016drive_petrol,Numeric,6976,181,0,0.0,,,0.6,63.5,3.68103497706422,2.95,2.9264680395885785
2016drive_GP,Numeric,6976,180,0,0.0,,,0.6,87.8,3.4028383027522935,2.7,2.786015867865937
2016drive_PO,Numeric,6976,126,0,0.0,,,0.6,17.3,2.7376863532110094,2.4,1.6166101201834933
2016drive_primary,Numeric,6976,119,0,0.0,,,0.7,186.1,2.5161697247706423,2.1,3.4272987169704185
2016drive_retail,Numeric,6976,264,0,0.0,,,0.7,190.0,5.238732798165137,4.0,6.131718281958964
2016drive_secondary,Numeric,6976,268,0,0.0,,,1.2,116.1,6.110751146788991,4.8,5.179672339369016
2016PT_GP,Numeric,6976,358,0,0.0,,,1.6,108.8,10.26697247706422,8.8,6.1822967331976955
2016PT_Post,Numeric,6976,285,0,0.0,,,1.9,40.3,8.569696100917431,7.5,4.477806902973851
2016PT_retail,Numeric,6976,448,0,0.0,,,1.9,190.0,13.532009747706422,11.2,10.660695252084928
2016crime_rate,String,6976,1096,0,0.0,1,5,,,,,
2016overcrowded_count,Numeric,6976,348,0,0.0,,,0.0,490.0,82.33256880733946,66.5,63.921332072786335
2016nocentralheat_count,Numeric,6976,120,0,0.0,,,0.0,187.0,13.430619266055047,8.0,16.800240737841513
2016overcrowded_rate,String,6976,54,0,0.0,2,3,,,,,
2016nocentralheat_rate,String,6976,21,0,0.0,2,3,,,,,
2020Total_population,Numeric,6976,960,0,0.0,,,0.0,3847.0,777.6376146788991,755.0,219.10892264856818
2020Working_Age_population,Numeric,6976,775,0,0.0,,,0.0,3423.0,500.97348050458714,475.0,175.07593850341655
2020SIMD2020v2_Rank,Numeric,6976,6976,0,0.0,,,1.0,6976.0,3488.5,3488.5,2013.9420713284348
2020SIMD_2020v2_Percentile,Numeric,6976,100,0,0.0,,,1.0,100.0,50.50688073394495,50.5,28.868217867196513
2020SIMD2020v2_Vigintile,Numeric,6976,20,0,0.0,,,1.0,20.0,10.501146788990825,10.5,5.766595074770818
2020SIMD2020v2_Decile,Numeric,6976,10,0,0.0,,,1.0,10.0,5.5005733944954125,5.5,2.872487156954847
2020SIMD2020v2_Quintile,Numeric,6976,5,0,0.0,,,1.0,5.0,3.0002866972477062,3.0,1.4144162734129626
2020SIMD2020v2_Income_Domain_Rank,Numeric,6976,6505,0,0.0,,,1.0,6969.0,3488.4974197247707,3488.5,2013.9375910485664
2020SIMD2020_Employment_Domain_Rank,Numeric,6976,6556,0,0.0,,,1.0,6974.0,3488.5,3488.5,2013.9420494024287
2020SIMD2020_Health_Domain_Rank,Numeric,6976,6976,0,0.0,,,1.0,6976.0,3488.5,3488.5,2013.9420713284348
2020SIMD2020_Education_Domain_Rank,Numeric,6976,6976,0,0.0,,,1.0,6976.0,3488.5,3488.5,2013.9420713284348
2020SIMD2020_Access_Domain_Rank,Numeric,6976,6976,0,0.0,,,1.0,6976.0,3488.5,3488.5,2013.9420713284348
2020SIMD2020_Crime_Domain_Rank,Numeric,6976,6802,0,0.0,,,1.0,6928.0,3488.5,3488.5,2013.9393630733277
2020SIMD2020_Housing_Domain_Rank,Numeric,6976,6680,0,0.0,,,1.0,6974.0,3488.5,3488.5,2013.9420626434585
2020income_rate,String,6976,54,0,0.0,2,3,,,,,
2020income_count,Numeric,6976,371,0,0.0,,,0.0,656.0,93.83041857798165,72.0,76.62058679268641
2020employment_rate,String,6976,45,0,0.0,2,3,,,,,
2020employment_count,Numeric,6976,210,0,0.0,,,0.0,311.0,46.55834288990825,36.0,37.060114402011116
2020CIF,Numeric,6976,66,3,0.00043004587155963305,,,5.0,370.0,102.6559586978345,90.0,57.28155347959399
2020ALCOHOL,Numeric,6976,484,2,0.00028669724770642203,,,0.0,1656.0,102.43733868655005,74.0,98.04930326518483
2020DRUG,Numeric,6976,579,2,0.00028669724770642203,,,0.0,1826.0,98.10883280757098,50.0,134.7868330979735
2020SMR,Numeric,6976,274,2,0.00028669724770642203,,,0.0,824.0,99.65400057355893,93.0,46.180163499535446
2020DEPRESS,String,6976,39,1,0.00014334862385321102,1,3,,,,,
2020LBWT,String,6976,32,1,0.00014334862385321102,1,3,,,,,
2020EMERG,Numeric,6976,201,2,0.00028669724770642203,,,25.0,399.0,101.02423286492687,95.0,34.9376427252575
2020Attendance,String,6976,56,2,0.00028669724770642203,1,4,,,,,
2020Attainment,String,6976,292,11,0.0015768348623853212,1,4,,,,,
2020no_qualifications,Numeric,6976,285,0,0.0,,,3.0,353.08,102.00621416284403,93.0,55.676910074106566
2020not_participating,String,6976,34,3,0.00043004587155963305,2,3,,,,,
2020University,String,6976,49,2,0.00028669724770642203,2,3,,,,,
2020crime_count,String,6976,178,0,0.0,1,4,,,,,
2020crime_rate,String,6976,1016,1,0.00014334862385321102,1,5,,,,,
2020overcrowded_count,Numeric,6976,348,0,0.0,,,0.0,490.0,82.33256880733946,66.5,63.921332072786335
2020nocentralheating_count,Numeric,6976,120,0,0.0,,,0.0,187.0,13.430619266055047,8.0,16.800240737841513
2020overcrowded_rate,String,6976,54,0,0.0,2,3,,,,,
2020nocentralheating_rate,String,6976,21,0,0.0,2,3,,,,,
2020drive_petrol,Numeric,6976,6976,0,0.0,,,0.661036107,64.95323446,3.873302130766485,3.171770948,2.959351972719657
2020drive_GP,Numeric,6976,6976,0,0.0,,,0.560435374,89.37690678,3.5725603213953554,2.900345096,2.823331019258731
2020drive_post,Numeric,6976,6976,0,0.0,,,0.650355392,23.93892094,2.9282043283570816,2.5348315230000003,1.7570038404077848
2020drive_primary,Numeric,6976,6969,0,0.0,,,0.940951417,29.88594891,3.0527514475756883,2.795569705,1.3721195949794194
2020drive_retail,Numeric,6976,6976,0,0.0,,,0.785414439,190.0,5.34131465375215,4.100012894000001,6.000243936709748
2020drive_secondary,Numeric,6976,6975,0,0.0,,,1.017790698,119.231125,6.102103130540424,4.89067016,5.103198069135076
2020PT_GP,Numeric,6976,6976,0,0.0,,,1.595564972,119.7899584,10.469649226879588,8.9588204105,6.2922472115275925
2020PT_post,Numeric,6976,6976,0,0.0,,,1.831673759,41.01048673,8.873081026164135,7.7225718919999995,4.741516006730235
2020PT_retail,Numeric,6976,6972,0,0.0,,,1.835431655,190.0,13.546195738425029,11.24694067,10.709883523001178
2020broadband,String,6976,99,2,0.00028669724770642203,2,4,,,,,
