variable,type,num_values,num_unique_values,num_nulls,proportion_nulls,min_length,max_length,min,max,mean,median,stddev
LSOA01CD,String,1896,1896,0,0.0,9,9,,,,,
LSOA01NM,String,1896,1895,0,0.0,3,51,,,,,
LSOA01NM2,String,1896,1896,0,0.0,10,26,,,,,
Local Authority Name,String,1896,22,0,0.0,5,21,,,,,
2005Overall index score,Numeric,1896,519,0,0.0,,,1.4,78.9,21.71487341772152,17.9,14.338006775535925
2005Rank Overall,Numeric,1896,1896,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723737322277
2005Income Number (1),Numeric,1896,584,0,0.0,,,17.0,957.0,267.72679324894517,232.5,168.27569488059686
2005Income Percentage (2),Numeric,1896,60,0,0.0,,,1.0,62.0,17.456751054852322,15.0,10.788747523819277
2005Employment (revised) (3) Number (1),Numeric,1896,299,0,0.0,,,15.0,521.0,134.26793248945148,122.0,69.13645216978898
2005Employment (revised) (3) Percentage (2),Numeric,1896,43,0,0.0,,,1.0,65.0,14.822784810126583,13.0,7.63730794605689
2005Income Rank,Numeric,1896,1895,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723734912545
2005Income Score,Numeric,1896,694,0,0.0,,,0.0,100.0,21.71555907172996,15.649999999999999,19.948520699644885
2005Employment Rank,Numeric,1896,1896,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723737322277
2005Employment Score,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2005Health Rank,Numeric,1896,1896,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723737322277
2005Health Score,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2005Health Rank,Numeric,1896,1896,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723737322277
2005Health Score,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2005Access to Services Rank,Numeric,1896,1432,0,0.0,,,1.0,1667.0,948.5,948.5,543.5747222121062
2005Access to Services Score,Numeric,1896,632,0,0.0,,,2.9,100.0,21.690453586497892,15.649999999999999,19.952242415815835
2005Housing Rank,Numeric,1896,1896,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723737322277
2005Housing Score,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2005Physical Environment Rank,Numeric,1896,1895,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723734912545
2005Physical Environment Score,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2005Access to food shop (1),Numeric,1896,101,0,0.0,,,0.0,100.0,79.95886075949367,97.0,30.12090667743651
2005Access to GP (2),Numeric,1896,99,0,0.0,,,0.0,100.0,84.79483122362869,100.0,28.589323886516137
2005Access to primary school (3),Numeric,1896,93,0,0.0,,,0.0,100.0,91.71044303797468,100.0,18.616615741067964
2005Access to secondary school (4),Numeric,1896,92,0,0.0,,,0.0,100.0,90.34862869198312,100.0,24.025520253437538
2005Access to dentist (5),Numeric,1896,98,0,0.0,,,0.0,100.0,85.70886075949367,100.0,30.036910373239916
2005Access to post office (6),Numeric,1896,87,0,0.0,,,0.0,100.0,92.04852320675106,100.0,17.700461897361212
2005Access to library (7),Numeric,1896,100,0,0.0,,,0.0,100.0,76.60232067510549,98.0,35.14469262084584
2005Access to leisure centre (8),Numeric,1896,101,0,0.0,,,0.0,100.0,78.17616033755274,100.0,35.25125168493671
2005KS2 average point score (1),Numeric,1896,34,0,0.0,,,63.0,97.0,82.6165611814346,83.0,5.42700372047107
2005KS3 average point score (2),Numeric,1896,57,0,0.0,,,0.0,137.0,101.09915611814345,102.0,9.075856186300031
2005KS4 average point score (3),Numeric,1896,63,0,0.0,,,0.0,76.0,40.301160337552744,40.0,10.202928790736655
2005Secondary school absence rates (4),Numeric,1896,12,0,0.0,,,5.0,16.0,9.41139240506329,9.0,1.8927878566314333
2005Not in education (5),Numeric,1896,78,0,0.0,,,-14.0,80.0,38.28533755274262,39.0,14.189457463377357
2005Low qualifications (6),Numeric,1896,60,0,0.0,,,6.0,67.0,29.582805907172997,28.0,11.837309637659336
2005Male ,Numeric,1896,535,0,0.0,,,416.0,1723.0,745.2573839662447,729.0,132.45283801795367
2005Female ,Numeric,1896,558,0,0.0,,,488.0,2195.0,796.1149789029536,782.0,140.1369042914089
2005Total Persons,Numeric,1896,830,0,0.0,,,936.0,3918.0,1541.3676160337552,1509.0,267.26755814490684
2005Income Rank,Numeric,1896,1895,0,0.0,,,1.0,1896.0,948.5005274261604,948.5,547.4722956566798
2005Employment Rank (revised) (2),Numeric,1896,1896,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723737322277
2005Health Rank,Numeric,1896,1896,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723737322277
2005Education Rank,Numeric,1896,1896,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723737322277
2005Access to services Rank,Numeric,1896,1432,0,0.0,,,1.0,1667.0,948.5021097046414,948.5,543.5753386681663
2005Housing Rank,Numeric,1896,1896,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723737322277
2005Physical environment Rank,Numeric,1896,1895,0,0.0,,,1.0,1896.0,948.5005274261604,948.5,547.4726339828721
