LSOA01CD,LSOA01NM,LSOA01NM2,Local Authority Name,2005Overall index score,2005Rank Overall,2005Income Number (1),2005Income Percentage (2),2005Employment (revised) (3) Number (1),2005Employment (revised) (3) Percentage (2),2005Income Rank,2005Income Score,2005Employment Rank,2005Employment Score,2005Health Rank,2005Health Score,2005Health Rank,2005Health Score,2005Access to Services Rank,2005Access to Services Score,2005Housing Rank,2005Housing Score,2005Physical Environment Rank,2005Physical Environment Score,2005Access to food shop (1),2005Access to GP (2),2005Access to primary school (3),2005Access to secondary school (4),2005Access to dentist (5),2005Access to post office (6),2005Access to library (7),2005Access to leisure centre (8),2005KS2 average point score (1),2005KS3 average point score (2),2005KS4 average point score (3),2005Secondary school absence rates (4),2005Not in education (5),2005Low qualifications (6),2005Male ,2005Female ,2005Total Persons,2005Income Rank,2005Employment Rank (revised) (2),2005Health Rank,2005Education Rank,2005Access to services Rank,2005Housing Rank,2005Physical environment Rank,2005Overall Index Rank (revised) (1),2008Income ,2008Employment ,2008Health ,2008Education ,2008Access to services ,2008Housing ,2008Physical environment ,2008Community safety ,2008Overall Index ,2008Child Index - Income ,2008Child Index - Education ,2008Child Index - Health ,2008Child Index - Access to Services ,2008Child Index - Housing ,2008Child Index - Physical Environment ,2008Child Index - Community Safety ,2008Child Index,2011WIMD score,2011Employment score,2011Income score,2011Education score,2011Health score,2011Community Safety score,2011Access score,2011Enviroment score,2011Housing score,2011Child Index,2011Income domain_Child Index,2011Education domain_Child Index,2011Health domain_Child Index,2011Community Safety domain_Child Index,2011Enviroment domain_Child Index,2011Access to Services domain_Child Index,2011Housing domain_Child Index
W01001330,Aber Valley 1,Caerphilly 018A,Caerphilly,26.1,576,349,24,154,18,471,31.2,625,25.0,392,35.2,577,26.7,872,17.5,1032,13.8,1387,7.1,100,100,100,100,100,100,100,97,82,104,38,10,55,38,719,755,1475,471,625,392,577,872,1032,1387,576,484,471,401,368,1172,1032,1300,730,514,793,189,128,887,1043,1300,730,414,24.9,26.4,28.7,35.9,29.5,16.1,10.9,4.5,13.8,27.3,32.1,44.1,25.1,16.1,4.5,17.2,13.5
W01001331,Aber Valley 2,Caerphilly 018B,Caerphilly,34.2,343,448,26,215,20,384,35.6,473,31.1,460,31.7,125,58.8,821,18.9,605,25.7,982,14.9,100,100,100,100,100,100,100,77,71,91,24,10,55,43,855,881,1737,384,473,460,125,821,605,982,343,510,485,457,282,1483,605,1202,428,487,347,245,627,762,383,1202,428,352,32.3,34.8,34.3,38.8,50.5,29.8,5.6,4.1,25.7,29.1,34.0,37.4,23.2,29.8,4.1,20.6,35.7
W01001332,Aber Valley 3,Caerphilly 018C,Caerphilly,37.7,267,585,30,282,24,260,44.0,231,46.5,752,20.9,191,50.4,665,23.6,599,25.9,993,14.6,100,100,100,100,100,100,100,7,77,94,29,10,55,46,969,988,1957,260,231,752,191,665,599,993,267,373,194,322,203,1186,599,1353,669,282,487,200,98,516,645,1353,669,269,37.4,51.3,42.9,41.9,38.5,29.0,10.6,4.2,25.9,36.4,42.3,36.6,47.8,29.0,4.2,29.2,24.3
W01001333,Aber Valley 4,Caerphilly 018D,Caerphilly,29.5,463,415,26,204,20,378,36.0,491,30.3,680,23.1,237,45.9,904,16.7,934,16.0,1662,3.0,100,100,100,100,100,100,100,90,75,93,30,10,55,40,794,804,1598,378,491,680,237,904,934,1662,463,488,515,801,243,1089,934,1476,752,553,295,216,418,783,661,1476,752,318,34.8,44.6,46.5,47.8,19.8,34.8,12.6,2.7,16.0,36.4,43.7,49.2,37.7,34.8,2.7,19.9,23.7
W01000426,Aber-craf,Powys 019A,Powys,19.7,833,241,17,167,20,803,19.4,453,32.0,1098,12.4,1201,10.3,584,26.5,1468,5.8,1190,10.6,64,91,100,99,100,100,59,43,88,102,40,7,24,32,667,726,1393,803,453,1098,1201,584,1468,1190,833,1078,494,1025,1056,476,1468,1331,1070,923,1149,1210,921,537,1561,1331,1070,1293,20.3,28.9,14.4,16.2,21.4,9.1,31.0,19.6,5.8,16.5,11.6,14.7,25.7,9.1,19.6,28.3,4.4
W01000506,Aberaeron,Ceredigion 005A,Ceredigion,10.8,1461,201,13,86,11,1104,12.2,1168,11.0,1511,5.2,1504,5.3,979,14.9,693,22.7,924,16.2,98,100,97,100,100,100,100,100,88,104,50,10,11,23,705,826,1531,1104,1168,1511,1504,979,693,924,1461,1121,1006,1510,1247,1683,693,650,1332,1403,1218,1107,1865,1801,682,650,1332,1598,10.7,14.0,12.0,8.2,2.0,8.6,2.7,27.2,22.7,8.6,9.5,9.1,0.1,8.6,27.2,1.2,23.0
W01001137,Aberaman North 1,Rhondda Cynon Taf 005A,Rhondda Cynon Taf,33.2,371,539,25,304,23,418,33.8,281,42.3,261,43.9,587,26.4,1175,10.8,471,31.2,828,18.7,98,100,100,100,100,100,88,100,82,99,34,9,39,38,1058,1104,2163,418,281,261,587,1175,471,828,371,466,301,144,613,1148,471,1317,417,355,453,633,189,1466,485,1317,417,441,35.4,41.3,35.8,26.5,60.4,46.9,11.4,2.1,31.2,31.5,40.9,25.5,41.9,46.9,2.1,5.8,30.6
W01001138,Aberaman North 2,Rhondda Cynon Taf 005B,Rhondda Cynon Taf,34.0,347,367,27,192,25,347,37.8,176,52.0,763,20.5,499,29.9,1239,9.6,666,23.6,369,36.5,100,100,100,100,100,100,54,100,80,94,35,9,39,39,620,748,1368,347,176,763,499,1239,666,369,347,395,174,485,393,1481,666,1468,648,365,736,418,943,741,1019,1468,648,762,30.7,44.6,32.2,27.3,29.3,44.1,5.6,15.6,23.6,22.9,26.8,22.8,14.7,44.1,15.6,21.2,14.0
W01001139,Aberaman North 3,Rhondda Cynon Taf 005C,Rhondda Cynon Taf,28.0,508,288,19,185,21,703,22.4,415,34.0,304,40.7,698,22.5,1199,10.4,673,23.3,259,44.1,100,100,100,100,100,100,14,100,79,99,42,9,39,36,748,770,1518,703,415,304,698,1199,673,259,508,1029,561,383,468,1515,673,1731,789,726,925,356,87,742,1276,1731,789,491,25.8,28.9,20.2,23.3,50.3,38.5,5.1,7.2,23.3,27.5,20.3,22.5,61.8,38.5,7.2,21.1,9.0
W01001140,Aberaman South 1,Rhondda Cynon Taf 005D,Rhondda Cynon Taf,33.0,374,346,23,217,24,482,30.7,237,45.9,532,28.5,505,29.7,886,17.2,422,33.6,411,34.2,98,100,100,100,70,100,0,70,83,94,39,9,50,40,717,758,1475,482,237,532,505,886,422,411,374,413,261,471,532,653,422,1446,456,376,242,593,1463,470,492,1446,456,437,34.4,44.6,40.7,24.1,30.9,38.8,24.0,13.6,33.6,33.2,52.5,20.9,13.2,38.8,13.6,31.2,30.2
