LSOA Code,LSOA Name (Eng),"LSOA Name - 
ONS classification",Local Authority Name (Eng),2014WIMD (r) ,2014Income (r) ,2014Employment,2014Health,2014Education ,2014Access to Services,2014Community Safety,2014Physical Environment,2014Housing,2014WIMD Overall Rank(r) ,2014WIMD Overall Decile,2014WIMD Overall Quintile,2014WIMD Overall Quartile,2019WIMD_Score,2019Income_Score,2019Employment_Score,2019Health_Score,2019Education_Score,2019AccessServices_Score,2019Housing_Score,2019CommunitySafety_Score,2019PhysicalEnvironment_Score,2019WIMD_Rank,2019Income_Rank,2019Employment_Rank,2019Health_Rank,2019Education_Rank,2019AccessServices_Rank,2019Housing_Rank,2019CommunitySafety_Rank,2019PhysicalEnvironment_Rank,2019WIMD_Decile,2019WIMD_Quintile,2019WIMD_Quartile
W01000001,Aberffraw & Rhosneigr 1,Isle of Anglesey 007A,Isle of Anglesey,861,929,867,1227,797,219,804,1776,744,861,5,3,2,19.2,17,23.9,10.3,13.4,47.5,16.1,16.6,0.6,885,898,659,1213,1057,221,935,914,1859,5,3,2
W01000002,Aberffraw & Rhosneigr 2,Isle of Anglesey 007B,Isle of Anglesey,1153,1097,998,1347,1255,445,1656,1653,378,1153,7,4,3,12.2,13.6,9.2,8.6,4.1,22.8,40.5,3.8,0.2,1324,1045,1272,1307,1591,693,309,1613,1894,7,4,3
W01000003,Amlwch Port,Isle of Anglesey 001A,Isle of Anglesey,500,483,607,450,620,628,392,1387,219,500,3,2,2,26.8,34.2,33.8,23.4,25.5,20.6,20.6,23.7,1.7,550,414,420,676,615,767,766,667,1776,3,2,2
W01000004,Amlwch Rural,Isle of Anglesey 001B,Isle of Anglesey,1126,1110,948,1254,1158,338,1180,1789,1033,1126,6,3,3,15.5,12,14.5,8.5,20,43.7,10,9,1,1100,1122,1004,1311,787,265,1229,1284,1827,6,3,3
W01000005,Beaumaris,Isle of Anglesey 005A,Isle of Anglesey,1231,1019,1242,1571,964,909,1063,804,500,1231,7,4,3,16,16.6,10.2,6.6,38.7,10.4,20,19.7,5.3,1065,917,1216,1430,336,1207,786,796,1510,6,3,3
W01000006,Bodffordd,Isle of Anglesey 006A,Isle of Anglesey,933,956,868,1175,1372,175,1555,1574,415,933,5,3,2,15.2,9.7,14.6,11.5,10.5,44.9,27.1,6.1,0.3,1116,1246,1003,1151,1203,251,571,1459,1881,6,3,3
W01000007,Bodorgan,Isle of Anglesey 009A,Isle of Anglesey,972,1102,1105,1054,1465,150,1740,789,340,972,6,3,3,16.4,11.2,10.9,6.4,8.4,48.5,57.3,8.2,3.6,1036,1165,1178,1441,1321,211,136,1332,1633,6,3,3
W01000008,Braint,Isle of Anglesey 008A,Isle of Anglesey,1781,1450,1584,1725,1763,1809,1602,1475,815,1781,10,5,4,3.7,4.9,3.4,4.7,1.9,1.4,6.2,2.1,3.9,1820,1541,1647,1554,1756,1797,1453,1740,1607,10,5,4
W01000009,Bryngwran,Isle of Anglesey 007C,Isle of Anglesey,742,677,757,907,1037,239,1203,1394,504,742,4,2,2,20.4,19.4,20.5,14.8,15.9,39.4,37.9,8,3.8,819,808,768,992,945,324,348,1341,1616,5,3,2
W01000010,Brynteg,Isle of Anglesey 002A,Isle of Anglesey,1485,1249,1300,1538,1406,499,1582,1730,1323,1485,8,4,4,7.2,7.8,8.4,3.9,8.5,11.2,6.4,3.7,3,1624,1354,1319,1609,1315,1165,1443,1624,1673,9,5,4
W01000011,Cadnant (Isle of Anglesey),Isle of Anglesey 008B,Isle of Anglesey,1634,1568,1602,1798,1249,1558,748,1261,335,1634,9,5,4,11.4,7.1,10.7,1.7,4.5,0.7,43.7,65.7,2.5,1377,1395,1189,1773,1565,1850,265,87,1710,8,4,3
W01000012,Cefni,Isle of Anglesey 006B,Isle of Anglesey,1409,1012,1082,1506,1768,1200,469,1238,1534,1409,8,4,3,9.4,9.1,9.9,13.9,5.2,4.9,1.3,34.7,0.8,1494,1280,1231,1031,1521,1540,1801,404,1846,8,4,4
W01000013,Cwm Cadnant,Isle of Anglesey 005B,Isle of Anglesey,1673,1720,1577,1695,1635,374,1765,1578,1346,1673,9,5,4,4.2,2,3.8,1,1.8,21.1,3.3,1.9,1,1777,1749,1615,1827,1761,750,1648,1753,1828,10,5,4
W01000014,Cyngar,Isle of Anglesey 006C,Isle of Anglesey,1031,820,754,1052,1364,1049,709,999,1167,1031,6,3,3,14.1,16.4,19.8,14,7.6,11.1,4.7,28.2,2.3,1194,926,795,1027,1364,1172,1554,543,1726,7,4,3
W01000015,Gwyngyll,Isle of Anglesey 008C,Isle of Anglesey,1733,1458,1587,1087,1837,1465,1614,1470,1607,1733,10,5,4,5.7,5.1,6.6,12.9,2.8,1.5,1.7,4.2,6.9,1704,1528,1425,1081,1689,1786,1770,1589,1409,9,5,4
W01000016,Holyhead Town,Isle of Anglesey 003A,Isle of Anglesey,209,149,194,339,444,1515,28,941,301,209,2,1,1,46.1,62.6,60.9,37.4,38.5,10.6,34.6,78.4,10.5,168,103,113,357,339,1198,406,40,1201,1,1,1
W01000017,Kingsland,Isle of Anglesey 003B,Isle of Anglesey,326,231,351,393,468,683,325,737,622,326,2,1,1,28.7,40.9,27.8,23.6,40.1,16.3,12.9,36.7,2.2,486,302,554,670,314,928,1079,369,1736,3,2,2
W01000018,Llanbadrig,Isle of Anglesey 001C,Isle of Anglesey,980,850,861,1180,755,898,941,960,1038,980,6,3,3,14.8,20.8,19.2,11.3,15.3,7.9,12.9,8.1,1,1145,759,815,1159,972,1345,1081,1337,1829,6,3,3
W01000019,Llanbedrgoch,Isle of Anglesey 005C,Isle of Anglesey,1335,1157,1269,1316,1301,463,1341,1386,1004,1335,7,4,3,13.5,9.3,13.4,10.2,24.9,15.4,11.4,8.4,14.9,1233,1264,1055,1216,630,968,1155,1317,989,7,4,3
W01000020,Llanddyfnan,Isle of Anglesey 002B,Isle of Anglesey,1375,1459,1375,1482,1493,152,1766,1654,1118,1375,8,4,3,10.6,4.3,5.8,4.1,3.6,55,22,4.9,0.4,1424,1578,1479,1597,1633,153,718,1537,1880,8,4,3
W01000021,Llaneilian,Isle of Anglesey 002C,Isle of Anglesey,969,978,935,1159,1126,179,1598,1599,802,969,6,3,3,16.3,12.9,14.9,11.2,8.7,50.3,26.9,2.8,4.1,1044,1082,988,1163,1300,193,576,1690,1591,6,3,3
W01000022,Llanfaethlu,Isle of Anglesey 004A,Isle of Anglesey,721,903,1058,1006,1167,56,1413,1686,65,721,4,2,2,19.8,15.5,9.9,12.6,16.2,61.6,46.6,7.9,3.8,857,961,1234,1093,932,109,231,1349,1619,5,3,2
W01000023,Llanfair-yn-Neubwll 1,Isle of Anglesey 007D,Isle of Anglesey,873,919,1162,606,872,217,1423,1761,770,873,5,3,2,17.4,17.6,11.2,23.1,19.3,36.1,11.6,7.2,1.8,985,877,1162,685,810,379,1145,1388,1763,6,3,3
W01000024,Llanfair-yn-Neubwll 2,Isle of Anglesey 007E,Isle of Anglesey,915,805,1230,1373,819,168,1162,1864,445,915,5,3,2,16.2,14.9,10.1,9.3,14.4,44.5,25.6,20.1,0.6,1050,989,1224,1264,1012,255,612,782,1857,6,3,3
W01000025,Llanfihangel Ysgeifiog,Isle of Anglesey 009B,Isle of Anglesey,1115,1260,1287,1520,1269,320,1374,397,211,1115,6,3,3,12.5,10.2,8.5,11,9.8,34.9,14.6,12.6,5.2,1300,1215,1311,1176,1241,401,999,1095,1519,7,4,3
W01000026,Llangoed,Isle of Anglesey 005D,Isle of Anglesey,943,1082,1073,977,1229,69,1538,1898,853,943,5,3,2,18.1,15.2,18.8,11.8,18.1,51.4,14.1,1.8,1.4,946,976,830,1133,858,183,1022,1766,1793,5,3,2
W01000027,Llanidan,Isle of Anglesey 009C,Isle of Anglesey,1017,1054,1076,1047,1412,208,1665,1372,368,1017,6,3,3,17.9,12.9,11.4,12.4,15.5,45.1,50.2,7.3,2.9,954,1079,1152,1102,963,248,194,1383,1682,5,3,2
W01000028,Llannerch-y-medd,Isle of Anglesey 001D,Isle of Anglesey,640,707,811,1005,962,44,1229,1571,302,640,4,2,2,22.3,18.1,16,12.7,17.9,65.1,46.1,4.1,8.4,727,858,940,1090,865,90,237,1593,1318,4,2,2
W01000029,London Road,Isle of Anglesey 003C,Isle of Anglesey,238,194,232,477,223,1134,174,513,646,238,2,1,1,34,45.3,48.6,32.3,29,14,17,36.1,0.8,366,246,210,450,525,1029,900,378,1844,2,1,1
W01000030,Maeshyfryd,Isle of Anglesey 003D,Isle of Anglesey,376,241,323,541,420,972,477,1283,730,376,2,1,1,34.4,45.2,42,38,36.2,20.2,14.2,27.8,0.9,353,247,287,347,377,778,1020,553,1837,2,1,1
W01000031,Mechell,Isle of Anglesey 001E,Isle of Anglesey,852,982,940,1199,1263,77,1478,1426,410,852,5,3,2,19.6,17.5,18.5,8.3,10.6,58,40.7,2.9,2.6,864,878,842,1322,1194,131,305,1683,1700,5,3,2
W01000032,Moelfre,Isle of Anglesey 002D,Isle of Anglesey,941,984,1110,876,714,206,1395,1561,1456,941,5,3,2,16.2,17.5,17.6,7.2,16.6,39.1,12.7,2.3,2.6,1053,879,875,1392,917,330,1088,1728,1703,6,3,3
W01000033,Morawelon,Isle of Anglesey 003E,Isle of Anglesey,168,138,175,453,135,601,198,626,405,168,1,1,1,41.3,49.8,52,43.9,38.5,35.6,4.9,60.4,0.1,224,198,178,263,338,387,1541,116,1899,2,1,1
W01000034,Parc a'r Mynydd,Isle of Anglesey 004B,Isle of Anglesey,1213,998,1032,1208,972,823,818,1863,1646,1213,7,4,3,14.1,15.2,13.8,10.7,18.5,21.2,1.1,25.7,0.3,1196,974,1038,1190,841,747,1818,608,1887,7,4,3
W01000035,Pentraeth,Isle of Anglesey 005E,Isle of Anglesey,1057,1109,1118,1326,1259,186,1616,1247,397,1057,6,3,3,15.6,11.8,10.2,8.3,8.3,52.5,38,5.9,3.2,1087,1136,1215,1326,1325,173,346,1470,1662,6,3,3
W01000036,Porthyfelin 1,Isle of Anglesey 003F,Isle of Anglesey,268,249,150,594,358,1417,302,203,580,268,2,1,1,36.1,46.7,50,26.7,41.7,14.2,15.7,44.9,4.9,316,230,196,583,292,1021,954,251,1540,2,1,1
W01000037,Porthyfelin 2,Isle of Anglesey 003G,Isle of Anglesey,1018,826,842,910,604,1722,1093,1253,1580,1018,6,3,3,17.6,21.7,21.7,16.1,26.4,8.9,2.5,18,0.1,974,730,730,935,589,1291,1712,860,1904,6,3,3
W01000038,Rhosyr,Isle of Anglesey 009D,Isle of Anglesey,664,746,723,1259,665,193,1396,656,317,664,4,2,2,21.5,19.8,17,16.1,22.7,47.3,34.1,8,4.8,764,794,899,937,696,223,415,1340,1545,4,2,2
W01000039,Trearddur 1,Isle of Anglesey 004C,Isle of Anglesey,1312,1404,1490,1274,1485,123,1573,1303,1120,1312,7,4,3,10.9,6.5,3.6,8.5,2.8,53.1,10.2,6.1,12.9,1409,1431,1632,1314,1692,168,1219,1458,1078,8,4,3
W01000040,Trearddur 2,Isle of Anglesey 004D,Isle of Anglesey,1246,1496,1279,1117,1560,209,1061,1204,642,1246,7,4,3,12.2,7.2,7.2,7.1,3.1,50.4,17.5,13.9,11.3,1325,1389,1393,1397,1663,192,881,1031,1161,7,4,3
