Dataset,Level,Level Code,Classification Code,Classification Name
UK-OAC 2021/2 and LSOAC 2021/2,Supergroup,sg,1,Retired Professionals
UK-OAC 2021/2 and LSOAC 2021/2,Supergroup,sg,2,Suburbanites and Peri-Urbanites
UK-OAC 2021/2 and LSOAC 2021/2,Supergroup,sg,3,Multicultural and Educated Urbanites
UK-OAC 2021/2 and LSOAC 2021/2,Supergroup,sg,4,Low-Skilled Migrant and Student Communities
UK-OAC 2021/2 and LSOAC 2021/2,Supergroup,sg,5,Ethnically Diverse Suburb-an Professionals
UK-OAC 2021/2 and LSOAC 2021/2,Supergroup,sg,6,Baseline UK
UK-OAC 2021/2 and LSOAC 2021/2,Supergroup,sg,7,Semi- and Un-Skilled Workforce
UK-OAC 2021/2 and LSOAC 2021/2,Supergroup,sg,8,Legacy Communities
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,1a ,Spacious Rural Living 
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,1b,Small Town Suburbia 
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,1c,Established Mature Families
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,2a,Inner Suburbs and Small Town Living
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,2b,Rural Amenity
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,2c,Ageing Communities
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,3a,Student Living and Professional Footholds 
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,3b,Ethnically Diverse Young Families
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,3c,Diverse Educated Urban Singles
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,4a,Ethnically Diverse Families in Less Connected Locations 
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,4b,Established Multi- Ethnic Communities
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,4c,Challenged Multicultural Communities and Students
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,5a,Outer Suburbs
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,5b,Suburban Professionals
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,6a,Challenged Communities
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,6b,Legacy Industrial and Coastal Communities
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,6c,Multicultural Inner Suburbs 
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,7a,Established but Challenged 
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,7b,Young Families in Industrial Towns
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,8a,Routine Occupations or Retirement
UK-OAC 2021/2 and LSOAC 2021/2,Group,g,8b,Legacy and Demographically Mixed Communities
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,1a1,Pre-Retirement Spacious Living 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,1a2,Retirement Spacious Living
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,1b1,Younger Established Suburban Communities 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,1b2,Older Established Suburban Communities 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,1c1,Affluent Mature Families 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,1c2,Burgeoning Mature Families 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,2a1,Younger Suburban Family Renters 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,2a2,Settled Owner-Occupied Suburbs 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,2a3,Terraced Communities 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,2b1,Ageing Rural Communities 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,2b2,Rural Mix 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,2c1,Communal Retirement Living 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,2c2,Ageing Independent Living 
